,MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating,Attrtion,WorkingDays
0,2016-03-01,1,28,Male,C23,Master,57387,2015-12-24,2016-03-11,1,1,571860.0,2.0,True,78
1,2017-12-01,2,31,Male,C7,Master,67016,2017-11-06,2017-12-01,2,2,0.0,1.0,False,25
2,2017-04-01,4,43,Male,C13,Master,65603,2016-12-07,2017-04-27,2,2,70000.0,1.0,True,141
3,2016-03-01,5,29,Male,C9,College,46368,2016-01-09,2016-03-07,1,1,40120.0,1.0,True,58
4,2017-12-01,6,31,Female,C11,Bachelor,78728,2017-07-31,2017-12-01,3,3,253000.0,1.6,False,123
5,2017-11-01,8,34,Male,C2,College,70656,2017-09-19,2017-11-15,3,3,0.0,1.0,True,57
6,2017-12-01,11,28,Female,C19,Master,42172,2017-12-07,2017-12-01,1,1,0.0,1.0,False,-6
7,2016-12-01,12,35,Male,C23,Master,28116,2016-06-29,2016-12-21,1,1,434530.0,2.5,True,175
8,2017-11-01,13,31,Male,C19,Master,119227,2012-05-28,2017-11-25,1,4,444045.2173913043,1.2608695652173914,True,2007
9,2017-12-01,14,39,Female,C26,College,19734,2017-10-16,2017-12-01,3,3,0.0,1.0,False,46
10,2016-02-01,16,30,Female,C23,College,52963,2015-11-30,2016-02-22,2,2,173400.0,1.0,True,84
11,2016-07-01,17,43,Male,C20,Master,51099,2015-03-06,2016-07-20,1,1,145377.14285714287,1.4285714285714286,True,502
12,2016-05-01,18,27,Female,C17,Bachelor,31631,2016-01-09,2016-04-30,1,1,0.0,1.0,True,112
13,2017-03-01,20,26,Female,C19,College,40342,2016-10-25,2017-03-01,3,3,0.0,1.0,True,127
14,2017-02-01,21,34,Female,C29,Bachelor,22755,2015-05-12,2017-02-17,1,1,497325.0,2.2857142857142856,True,647
15,2017-04-01,22,41,Male,C10,Master,31224,2015-05-25,2017-04-26,1,1,471218.125,2.875,True,702
16,2016-10-01,24,31,Male,C24,Master,76308,2015-05-25,2016-10-27,1,2,410172.0,2.3,True,521
17,2017-12-01,25,31,Male,C24,Bachelor,102077,2014-10-30,2017-12-01,1,3,1514629.5833333333,3.75,False,1128
18,2017-12-01,26,43,Male,C14,Master,132577,2015-05-07,2017-12-01,1,4,2911162.5,3.0833333333333335,False,939
19,2016-05-01,29,30,Male,C13,Master,30312,2015-05-20,2016-05-23,1,1,254634.0,1.6,True,369
20,2016-12-01,30,31,Male,C6,Bachelor,69457,2016-10-03,2016-11-29,3,3,0.0,1.0,True,57
21,2017-12-01,31,32,Female,C28,Master,65189,2017-07-04,2017-12-01,3,3,158490.0,1.5,False,150
22,2017-11-01,34,28,Female,C14,Bachelor,65813,2017-07-31,2017-11-14,2,2,119002.5,1.5,True,106
23,2017-05-01,35,32,Male,C5,Bachelor,68070,2017-03-07,2017-05-05,3,3,100000.0,1.0,True,59
24,2017-08-01,36,41,Female,C18,Bachelor,32865,2016-07-01,2017-07-29,2,2,305552.14285714284,2.0,True,393
25,2017-10-01,37,33,Female,C14,Bachelor,57375,2017-05-16,2017-10-16,2,2,108336.66666666667,1.0,True,153
26,2017-03-01,38,22,Male,C27,College,13427,2016-12-06,2017-03-15,1,1,0.0,1.0,True,99
27,2017-12-01,39,32,Male,C26,College,72888,2017-08-08,2017-12-01,2,2,484446.0,2.4,False,115
28,2017-02-01,40,32,Male,C15,College,59182,2016-11-08,2017-02-14,2,2,0.0,1.0,True,98
29,2017-12-01,41,35,Male,C29,Master,92372,2016-07-04,2017-12-01,4,4,1208661.6666666667,2.0,False,515
30,2016-05-01,42,44,Female,C28,College,45988,2015-10-20,2016-05-16,2,2,198938.0,1.0,True,209
31,2016-02-01,43,27,Female,C15,College,12906,2015-07-13,2016-02-20,1,1,179945.0,1.0,True,222
32,2017-11-01,44,28,Male,C17,Master,62100,2017-09-25,2017-11-24,1,1,50036.666666666664,1.0,True,60
33,2017-12-01,45,35,Male,C8,Master,77544,2017-05-29,2017-12-01,3,3,746762.8571428572,2.7142857142857144,False,186
34,2016-03-01,46,36,Female,C25,Master,42171,2015-10-28,2016-02-27,1,1,112763.33333333333,1.0,True,122
35,2017-12-01,47,30,Male,C21,Bachelor,28000,2017-10-09,2017-12-01,1,1,288756.6666666667,2.0,False,53
36,2017-01-01,49,22,Male,C20,College,53039,2015-05-25,2017-01-21,1,2,138369.23076923078,1.2307692307692308,True,607
37,2016-02-01,50,49,Female,C5,College,89367,2015-11-20,2016-02-20,3,3,55155.0,1.0,True,92
38,2016-12-01,51,34,Male,C14,College,131347,2014-05-22,2016-12-23,4,4,319001.0,1.6,True,946
39,2017-12-01,52,37,Male,C19,College,48687,2017-06-28,2017-12-01,3,3,308765.0,1.5,False,156
40,2017-12-01,54,35,Male,C29,Bachelor,127826,2016-07-11,2017-12-01,4,5,1879071.6666666667,2.2222222222222223,False,508
41,2017-03-01,55,30,Female,C8,College,29985,2016-11-21,2017-03-15,1,1,0.0,1.0,True,114
42,2017-12-01,56,36,Female,C19,Master,80223,2015-07-20,2017-12-01,1,1,488477.9166666667,2.875,False,865
43,2017-07-01,57,38,Female,C1,Bachelor,84318,2014-07-26,2017-07-21,1,2,1199542.6315789474,3.0526315789473686,True,1091
44,2016-01-01,58,41,Male,C4,College,57987,2015-10-15,2016-01-25,2,2,0.0,1.0,True,102
45,2016-03-01,59,35,Female,C18,Bachelor,31644,2016-01-06,2016-03-28,1,1,44886.666666666664,1.0,True,82
46,2017-12-01,60,48,Female,C20,College,89592,2013-09-17,2017-12-01,1,4,2051063.3333333333,3.5,False,1536
47,2016-03-01,61,32,Male,C11,Master,19818,2015-05-04,2016-03-17,1,1,-146433.33333333334,1.0,True,318
48,2017-12-01,62,27,Male,C9,Master,62376,2017-11-28,2017-12-01,1,1,0.0,1.0,False,3
49,2017-12-01,63,28,Male,C6,College,93931,2013-04-30,2017-12-01,1,3,512213.3333333333,1.875,False,1676
50,2017-06-01,64,33,Male,C27,Master,66502,2017-01-31,2017-06-19,2,2,38788.0,1.0,True,139
51,2017-06-01,65,30,Female,C7,Bachelor,69539,2015-07-31,2017-06-16,2,2,651032.2222222222,2.5,True,686
52,2017-02-01,66,27,Female,C4,Master,104286,2017-01-21,2017-02-01,3,3,0.0,1.0,False,11
53,2017-12-01,67,41,Male,C28,Master,65982,2016-01-04,2017-12-01,1,2,522645.8333333333,2.5,False,697
54,2017-12-01,68,32,Male,C29,College,79288,2012-10-18,2017-12-01,1,3,1137909.1666666667,3.25,False,1870
55,2017-09-01,69,32,Female,C7,Bachelor,64604,2016-11-14,2017-09-12,2,2,421825.45454545453,1.8181818181818181,True,302
56,2016-01-01,70,35,Male,C20,Bachelor,19235,2015-10-08,2016-01-29,1,1,0.0,1.0,True,113
57,2016-02-01,71,43,Male,C20,Master,54103,2015-05-25,2016-02-15,3,3,94390.0,1.0,True,266
58,2017-12-01,72,28,Male,C14,Master,42242,2017-10-18,2017-12-01,2,2,64526.666666666664,1.0,False,44
59,2017-10-01,74,35,Female,C5,Master,59216,2017-05-01,2017-10-24,2,2,98711.66666666667,1.0,True,176
60,2017-12-01,75,25,Female,C18,Master,39884,2017-07-21,2017-12-13,2,2,394321.6666666667,2.0,True,145
61,2017-12-01,77,34,Male,C3,Master,63918,2015-05-18,2017-12-01,1,2,748330.0,3.0,False,928
62,2017-12-01,78,37,Male,C21,College,105946,2015-09-16,2017-12-01,2,4,1813812.9166666667,2.625,False,807
63,2016-08-01,79,32,Male,C14,Bachelor,114648,2016-07-09,2016-08-09,4,4,0.0,1.0,True,31
64,2017-12-01,80,29,Female,C7,College,56687,2017-10-02,2017-12-01,2,2,51100.0,1.0,False,60
65,2016-10-01,81,39,Male,C9,Master,77177,2015-06-12,2016-10-04,1,2,313368.0,1.6,True,480
66,2017-08-01,82,37,Female,C24,Bachelor,89013,2017-04-11,2017-07-29,3,3,0.0,1.0,True,109
67,2017-06-01,83,34,Male,C23,Master,115159,2016-08-29,2017-06-07,3,3,75000.0,1.0,True,282
68,2017-09-01,84,42,Male,C16,College,25950,2016-07-04,2017-09-04,1,1,579201.3333333334,2.4,True,427
69,2017-12-01,85,25,Male,C22,Master,49509,2017-09-28,2017-12-01,1,1,0.0,1.0,False,64
70,2016-01-01,86,35,Male,C2,Master,49510,2015-05-28,2016-01-27,1,1,0.0,1.0,True,244
71,2017-12-01,87,37,Male,C6,Bachelor,119341,2016-08-31,2017-12-01,3,3,2251826.25,3.25,False,457
72,2016-06-01,88,45,Female,C3,College,62298,2015-01-06,2016-06-03,2,2,541478.3333333334,2.0,True,514
73,2017-08-01,89,28,Male,C2,Bachelor,58977,2016-05-30,2017-07-29,2,2,408762.0,2.0,True,425
74,2017-03-01,90,33,Male,C22,College,29408,2016-11-11,2017-03-10,2,2,108728.0,1.0,True,119
75,2016-12-01,91,31,Male,C21,College,22731,2016-08-03,2016-12-15,2,2,40000.0,1.0,True,134
76,2016-02-01,93,30,Male,C17,Master,39527,2015-07-14,2016-02-03,2,2,610060.0,2.0,True,204
77,2017-03-01,95,29,Female,C14,Master,60874,2017-01-30,2017-03-09,3,3,0.0,1.0,True,38
78,2017-11-01,96,35,Male,C12,Master,64953,2017-07-17,2017-11-27,3,3,0.0,1.0,True,133
79,2017-12-01,97,40,Female,C2,Master,80771,2017-10-03,2017-12-01,3,3,116666.66666666667,1.0,False,59
80,2017-12-01,98,25,Male,C16,College,63774,2016-08-15,2017-12-25,2,3,1259731.7647058824,3.0,True,497
81,2017-08-01,99,30,Male,C23,College,38068,2017-03-24,2017-07-29,2,2,0.0,1.0,True,127
82,2016-05-01,101,33,Male,C10,College,38945,2014-12-03,2016-05-03,1,1,351968.0,1.6,True,517
83,2016-03-01,102,22,Female,C12,College,42270,2016-01-05,2016-03-21,1,1,0.0,1.0,True,76
84,2017-07-01,103,26,Female,C28,Bachelor,68913,2016-11-30,2017-07-04,2,2,68047.5,1.0,True,216
85,2017-12-01,104,30,Female,C23,Bachelor,60332,2017-08-16,2017-12-01,2,2,250464.0,1.6,False,107
86,2016-01-01,105,38,Male,C4,College,67931,2015-09-18,2016-01-06,1,1,0.0,1.0,True,110
87,2016-08-01,106,34,Female,C22,College,57671,2013-05-27,2016-08-02,1,3,563110.0,2.0,True,1163
88,2017-11-01,107,35,Male,C9,Master,102142,2016-12-12,2017-11-27,3,3,378787.5,1.75,True,350
89,2017-06-01,108,38,Male,C22,Master,121259,2017-01-09,2017-06-02,3,3,144058.33333333334,1.0,True,144
90,2017-12-01,109,36,Female,C6,College,33927,2017-04-14,2017-12-01,1,1,214213.33333333334,1.6666666666666667,False,231
