MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating,Attrtion
2016-03-01,1,28,Male,C23,Master,57387,2015-12-24,2016-03-11,1,1,571860.0,2.0,True
2017-12-01,2,31,Male,C7,Master,67016,2017-11-06,,2,2,0.0,1.0,False
2017-04-01,4,43,Male,C13,Master,65603,2016-12-07,2017-04-27,2,2,70000.0,1.0,True
2016-03-01,5,29,Male,C9,College,46368,2016-01-09,2016-03-07,1,1,40120.0,1.0,True
2017-12-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,253000.0,1.6,False
2017-11-01,8,34,Male,C2,College,70656,2017-09-19,2017-11-15,3,3,0.0,1.0,True
2017-12-01,11,28,Female,C19,Master,42172,2017-12-07,,1,1,0.0,1.0,False
2016-12-01,12,35,Male,C23,Master,28116,2016-06-29,2016-12-21,1,1,434530.0,2.5,True
2017-11-01,13,31,Male,C19,Master,119227,2012-05-28,2017-11-25,1,4,444045.2173913043,1.2608695652173914,True
2017-12-01,14,39,Female,C26,College,19734,2017-10-16,,3,3,0.0,1.0,False
2016-02-01,16,30,Female,C23,College,52963,2015-11-30,2016-02-22,2,2,173400.0,1.0,True
2016-07-01,17,43,Male,C20,Master,51099,2015-03-06,2016-07-20,1,1,145377.14285714287,1.4285714285714286,True
2016-05-01,18,27,Female,C17,Bachelor,31631,2016-01-09,2016-04-30,1,1,0.0,1.0,True
2017-03-01,20,26,Female,C19,College,40342,2016-10-25,2017-03-01,3,3,0.0,1.0,True
2017-02-01,21,34,Female,C29,Bachelor,22755,2015-05-12,2017-02-17,1,1,497325.0,2.2857142857142856,True
2017-04-01,22,41,Male,C10,Master,31224,2015-05-25,2017-04-26,1,1,471218.125,2.875,True
2016-10-01,24,31,Male,C24,Master,76308,2015-05-25,2016-10-27,1,2,410172.0,2.3,True
2017-12-01,25,31,Male,C24,Bachelor,102077,2014-10-30,,1,3,1514629.5833333333,3.75,False
2017-12-01,26,43,Male,C14,Master,132577,2015-05-07,,1,4,2911162.5,3.0833333333333335,False
2016-05-01,29,30,Male,C13,Master,30312,2015-05-20,2016-05-23,1,1,254634.0,1.6,True
2016-12-01,30,31,Male,C6,Bachelor,69457,2016-10-03,2016-11-29,3,3,0.0,1.0,True
2017-12-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,158490.0,1.5,False
2017-11-01,34,28,Female,C14,Bachelor,65813,2017-07-31,2017-11-14,2,2,119002.5,1.5,True
